gene	transcript	n_transcript	n_gene
FCGRT	NM_001136019.3,NM_004107.5	2	1
NOSIP	NM_015953.4,NM_001270960.2,NM_001363649.1	3	1
PRRG2	NM_001316335.2,NM_000951.3	2	1
IRF3	NM_001197125.1,NM_001197128.2,NM_001197126.2,NM_001197127.2,NM_001197124.2,NM_001197123.2,NM_001197122.2,NR_045568.2,NM_001571.6	9	1
BCL2L12	NM_001282516.1,NM_001282520.1,NR_104205.1,NR_104203.1,NM_001282517.1,NR_104201.1,NR_104200.1,NR_104202.1,NR_104204.1,NM_001282519.1,NM_001282521.1,NM_001040668.1,NM_138639.1	13	1
PRMT1	NM_198318.4,NM_001207042.2,NR_033397.4,NM_001536.5	4	1
CPT1C	NM_001199752.2,NM_001136052.2,NM_152359.2,NM_001199753.1,NR_108072.2	5	1
AP2A1	NM_014203.3,NM_130787.3	2	1
FUZ	NM_025129.5,NM_001171937.2,NM_001352262.2,NM_001363663.1,NR_033269.2	5	1
MIR6800+MED25	NM_030973.3,NR_106858.1	2	2
PTOV1	NM_001364749.1,NM_001364747.1,NM_001364745.2,NR_130963.1,NM_001305108.1,NM_001364748.1,NM_001364750.1,NM_017432.5,NM_001305105.2	9	1
AKT1S1	NM_032375.5,NM_001098632.2,NM_001278159.1,NM_001278160.1,NM_001098633.4	5	1
TBC1D17	NM_024682.3,NM_001168222.2	2	1
NUP62+IL4I1	NR_047577.2,NM_001258018.2,NM_152899.2,NM_172374.3,NM_001258017.2,NM_153718.4,NM_001193357.2,NM_016553.5,NM_153719.4,NM_012346.5	10	2
MIR4751+ATF5	NM_012068.5,NM_001193646.1,NM_001290746.1,NR_039906.1	4	2
SIGLEC11	NM_052884.3,NM_001135163.1	2	1
SIGLEC16	NM_001348364.2,NR_145574.2	2	1
VRK3	NM_001025778.1,NM_016440.4,NM_001308420.2	3	1
ZNF473	NM_001006656.4,NM_015428.4,NM_001308424.3	3	1
LOC400710	NR_138096.1,NR_027257.2	2	1
IZUMO2	NM_001321449.1,NM_152358.2	2	1
MYH14	NM_001077186.2,NM_001145809.2,NM_024729.3	3	1
KCNC3	NM_001372305.1,NR_110912.2,NM_004977.3	3	1
NR1H2	NM_001256647.2,NM_007121.7	2	1
POLD1	NM_001256849.1,NM_002691.4,NR_046402.2,NM_001308632.1	4	1
SPIB	NM_001244000.2,NM_003121.5,NM_001243998.1,NM_001243999.2	4	1
FAM71E1	NM_138411.3,NM_001308429.2	2	1
EMC10	NM_175063.6,NM_206538.4	2	1
JOSD2	NM_001270641.1,NM_001270639.1,NM_001270640.1,NM_001270686.2,NM_138334.4	5	1
ASPDH	NM_001114598.2,NM_001024656.3	2	1
LRRC4B	NM_001348568.1,NM_001080457.2	2	1
SYT3	NM_032298.2,NM_001160328.1,NM_001160329.2	3	1
C19orf48	NM_001290152.1,NM_199250.2,NM_001290155.1,NM_001290150.1,NM_001290154.1,NM_001290151.1,NM_001290153.1,NM_001290149.1,NM_199249.2,NM_032712.3	10	1
KLK15	NM_001277081.1,NM_017509.3,NM_001277082.1,NR_102274.1	4	1
LOC105372441	NR_131205.1,NR_131203.1	2	1
KLK3	NM_001648.2,NM_001030047.1,NM_001030048.1	3	1
KLK2	NM_001256080.1,NM_001002231.3,NM_005551.5,NR_045762.2,NR_045763.2	5	1
KLK4	NM_004917.4,NR_126566.1,NM_001302961.1	3	1
KLK5	NM_001077492.2,NM_001077491.2,NM_012427.5	3	1
KLK6	NM_001012964.2,NM_001012965.2,NM_001319948.2,NM_002774.4,NM_001319949.1	5	1
KLK7	NM_001207053.2,NM_005046.4,NM_001243126.1,NM_139277.2	4	1
KLK8	NM_144506.3,NM_007196.4,NR_104008.2,NM_001281431.1,NM_144505.3,NM_144507.2	6	1
KLK10	NM_145888.3,NM_002776.5,NM_001077500.1	3	1
KLK11	NM_001136032.3,NM_006853.3,NM_001167605.2,NM_144947.3	4	1
KLK12	NM_145894.2,NM_001370128.1,NM_001370125.1,NM_145895.2,NM_001370127.1,NM_001370126.1,NM_019598.3	7	1
KLK13	NM_015596.3,NR_145465.2,NR_145466.2,NR_145467.2,NR_145464.2,NR_145463.2,NM_001348177.2,NM_001348178.2	8	1
KLK14	NM_001311182.2,NM_001369775.2,NR_163144.1,NM_022046.6	4	1
SIGLEC9	NM_001198558.1,NM_014441.2	2	1
SIGLEC7	NM_014385.3,NM_016543.3,NM_001277201.1,NR_102350.2	4	1
SIGLEC17P	NR_047531.2,NR_047530.2,NR_047529.2	3	1
CD33	NM_001177608.2,NM_001772.4,NM_001082618.2	3	1
SIGLECL1	NR_102324.2,NM_173635.2,NM_001308437.1	3	1
ETFB	NM_001014763.1,NM_001985.3	2	1
NKG7	NM_005601.4,NM_001363693.2	2	1
LIM2	NM_030657.4,NM_001161748.2	2	1
C19orf84	NR_126530.2,NM_001193623.2	2	1
SIGLEC10	NM_001171159.2,NM_001171161.2,NM_033130.5,NM_001322105.2,NM_001171156.2,NM_001171157.2,NM_001171158.2	7	1
LOC100129083	NR_164124.1,NR_164125.1	2	1
SIGLEC8	NM_014442.3,NM_001363548.1	2	1
SIGLEC12	NM_053003.4,NM_033329.2	2	1
SIGLEC6	NM_001177548.3,NM_001177549.3,NM_001177547.3,NM_198846.6,NM_198845.6,NM_001245.7	6	1
ZNF175	NM_007147.4,NR_136208.2	2	1
SPACA6	NM_001316994.2,NR_024330.1,NM_001316972.1	3	1
HAS1	NM_001297436.2,NM_001523.4	2	1
FPR1	NM_001193306.2,NM_002029.3	2	1
FPR2	NM_001005738.2,NM_001462.3	2	1
ZNF577	NR_163433.1,NM_001370455.1,NM_001370452.1,NM_001370456.1,NM_001370457.1,NM_001370449.1,NM_001370447.1,NM_001370450.1,NM_001370448.1,NM_032679.2,NM_001135590.1	11	1
ZNF613	NM_001031721.4,NM_024840.4	2	1
ZNF615	NM_001199324.2,NM_001321317.1,NM_198480.3,NM_001321319.1,NM_001321323.1,NM_001321320.1,NM_001321322.1,NM_001321321.1,NM_001321318.1	9	1
ZNF432	NM_014650.4,NM_001322284.1,NM_001322285.1	3	1
ZNF841	NM_001369829.2,NM_001352299.1,NM_001369830.1,NM_001369825.1,NM_001369826.1,NM_001369827.1,NM_001369828.1,NM_001136499.1,NM_001321349.1,NM_001352298.1	10	1
ZNF616	NM_178523.5,NR_135823.1	2	1
PPP2R1A	NM_014225.6,NR_033500.2,NM_001363656.2	3	1
ZNF480	NM_001297625.1,NM_001297624.1,NM_144684.4	3	1
ZNF610	NM_001161425.2,NM_001161426.1,NM_001161427.1,NM_173530.2	4	1
ZNF534	NM_001143939.3,NM_001351679.2,NM_001143938.3,NM_001291368.3,NM_001291369.3	5	1
ZNF578	NM_001366182.1,NM_001099694.2	2	1
ZNF808	NM_001321425.1,NM_001363550.1,NM_001039886.4,NM_001321424.1	4	1
ZNF701	NM_018260.2,NM_001172655.1	2	1
ZNF83	NM_001277948.1,NM_001277949.1,NM_001277947.1,NM_001105550.1,NM_001105552.1,NM_018300.3,NM_001277952.1,NM_001348018.1,NM_001105551.1,NM_001348019.1,NM_001277946.1,NM_001348015.1,NM_001277951.1,NM_001348016.1,NM_001348017.1,NM_001277945.1,NM_001105549.1	17	1
ZNF611	NM_030972.3,NM_001161500.1,NM_001161501.1,NM_001161499.2	4	1
ZNF600	NM_198457.4,NM_001321866.2,NM_001321867.2	3	1
ZNF28	NR_163139.1,NM_006969.5,NM_001369765.1,NM_001369761.1,NM_001369764.1,NM_001369762.1,NM_001369766.1,NM_001369763.1,NM_001369768.1,NM_001369767.1	10	1
ZNF468	NR_102299.2,NR_102301.2,NR_102300.2,NM_001277120.2,NM_001008801.2	5	1
ZNF320	NM_001351777.1,NM_207333.3,NM_001351773.1,NM_001351776.2,NM_001351774.2,NM_001351775.2	6	1
ZNF816+ZNF321P+ZNF816-ZNF321P	NM_001202473.1,NR_037805.1,NM_001202457.2,NM_001202456.2,NM_001031665.3	5	3
ZNF160	NM_001322131.1,NM_001322133.1,NM_198893.2,NM_001322135.1,NM_001322136.1,NM_001322129.1,NM_001322130.1,NM_001322138.1,NM_001322132.1,NM_001102603.1,NM_001322137.1,NM_033288.3,NM_001322139.1,NM_001322128.1,NM_001322134.1,NM_001322126.2,NM_001322125.2	17	1
ZNF415	NM_001352150.1,NM_001352132.1,NM_018355.3,NM_001330766.1,NM_001352138.1,NM_001330759.1,NM_001352151.1,NM_001352133.1,NM_001352147.1,NM_001352149.1,NM_001352142.1,NM_001164309.2,NM_001352134.1,NM_001352130.1,NM_001352139.1,NM_001352148.1,NM_001352137.1,NM_001352143.1,NM_001352136.1,NM_001136038.3,NM_001352146.1,NM_001352144.1,NM_001352141.1,NM_001352135.1,NM_001352140.1,NM_001352131.1	26	1
ZNF347	NM_001172675.2,NM_032584.3,NM_001172674.1	3	1
ZNF665	NM_001353458.2,NM_001353457.2,NM_001353459.2,NM_024733.5	4	1
ZNF677	NM_001317998.1,NM_182609.3	2	1
ZNF845	NM_001321524.1,NM_001321522.1,NM_001321523.1,NM_138374.3	4	1
ZNF525	NR_145445.2,NR_145447.2,NM_001348156.2,NM_001348157.2,NR_145446.2	5	1
ZNF765+ZNF761+TPM3P9+ZNF765-ZNF761	NM_001350495.1,NR_146721.1,NM_001350496.2,NM_001040185.3,NR_003148.3,NR_110551.2,NM_001289951.2,NM_001008401.4,NM_001289952.1,NM_001289953.1	10	4
ZNF331	NM_018555.6,NM_001317120.2,NM_001317114.2,NM_001253799.2,NM_001253798.2,NM_001317113.2,NM_001079906.2,NM_001317115.2,NM_001253800.1,NM_001253801.2,NM_001317117.1,NM_001317118.1,NM_001317116.1,NM_001317121.1,NM_001317119.1,NM_001079907.1	16	1
NLRP12	NM_001277126.1,NM_144687.3,NM_001277129.1	3	1
MYADM	NM_001290193.2,NM_001290188.2,NM_001020820.3,NM_001020819.2,NM_001290194.2,NM_138373.5,NM_001290191.2,NM_001290192.2,NM_001290190.1,NM_001290189.1,NM_001020821.2,NM_001020818.2	12	1
PRKCG	NM_001316329.2,NM_002739.5	2	1
MIR935+CACNG8	NM_031895.6,NR_030632.1	2	2
CACNG6	NR_102308.1,NM_145815.1,NM_145814.1,NM_031897.2	4	1
VSTM1	NM_001288793.1,NR_110142.2,NM_001288792.1,NM_198481.4,NM_001288791.2	5	1
TARM1	NM_001135686.3,NM_001330650.1	2	1
OSCAR	NM_001282349.1,NM_133169.4,NM_133168.4,NM_130771.4,NM_001282350.1,NM_206818.2	6	1
TFPT	NM_013342.3,NM_001321792.1	2	1
TMC4	NM_144686.4,NM_001145303.3	2	1
MBOAT7	NM_001146083.2,NM_001146056.3,NM_024298.5,NM_001146082.3	4	1
TSEN34	NM_001282333.1,NM_024075.5,NM_001282332.1,NM_001077446.4	4	1
RPS9	NM_001321702.2,NM_001321705.2,NM_001321706.2,NM_001321701.2,NM_001321704.2,NR_135763.2,NR_135762.2,NM_001013.4	8	1
LILRA4+LILRA6+LILRA5	NR_104098.2,NM_024318.4,NM_021250.4,NM_181985.4,NM_181879.3,NM_181986.3,NM_012276.5	7	3
LILRB5	NM_006840.5,NM_001081442.3,NM_001081443.3,NM_001304457.2	4	1
LILRB2	NM_005874.5,NM_001080978.4,NR_103521.3,NM_001278404.2,NM_001278405.2,NM_001278403.2,NM_001278406.2	7	1
LAIR1	NM_002287.6,NM_001289025.3,NR_110280.3,NM_001289023.3,NM_021706.5,NR_110279.3,NM_001289026.2,NM_001289027.2	8	1
TTYH1	NM_001201461.2,NM_001005367.3,NM_020659.4	3	1
LAIR2	NM_002288.6,NM_021270.5	2	1
KIR3DX1	NR_026716.2,NR_104095.1,NR_104096.1,NR_104097.1	4	1
LILRA2	NM_006866.4,NM_001290271.2,NM_001130917.3,NM_001290270.1	4	1
LILRA1	NR_103503.1,NR_103502.1,NM_001278318.2,NM_006863.4,NR_103501.2,NM_001278319.1	6	1
LILRB1	NM_006669.6,NM_001081638.3,NM_001081639.3,NR_103518.2,NM_001081637.2,NM_001278399.2,NM_001278398.2	7	1
LILRB4	NM_001278428.3,NM_001278429.3,NM_001278430.3,NM_001278427.3,NM_001278426.3	5	1
LOC101928804	NR_110738.1,NR_110737.1	2	1
KIR2DL4	NM_001080770.2,NM_001080772.2	2	1
KIR2DS4	NM_001281971.2,NM_001281972.2	2	1
KIR3DL2	NM_006737.4,NM_001242867.2	2	1
FCAR	NM_002000.4,NM_133273.4,NM_133278.4,NM_133272.4,NM_133271.4,NM_133274.4,NM_133277.4,NM_133269.4	8	1
NCR1	NM_001145457.3,NM_001145458.3,NM_001242356.3,NM_004829.7,NM_001242357.3	5	1
NLRP7	NM_001127255.1,NM_139176.3,NM_206828.3	3	1
NLRP2	NM_001174081.3,NM_001174082.2,NM_001348003.2,NM_017852.5,NR_145325.2,NM_001174083.2	6	1
GP6	NM_016363.5,NM_001083899.2,NM_001256017.2	3	1
RDH13	NR_027381.2,NR_027382.2,NM_138412.4,NM_001145971.2	4	1
EPS8L1	NM_133180.3,NM_017729.3	2	1
PPP1R12C	NM_017607.4,NM_001271618.2	2	1
TNNT1	NM_003283.6,NM_001291774.2,NM_001126133.3,NM_001126132.3	4	1
DNAAF3	NM_001256714.1,NM_001256716.1,NM_178837.4,NM_001256715.2	4	1
SYT5	NM_001297774.2,NM_003180.3	2	1
PTPRH	NM_001161440.3,NM_002842.5	2	1
TMEM86B	NM_173804.5,NM_001372013.1	2	1
HSPBP1	NM_012267.5,NM_001297600.2,NM_001130106.1	3	1
TMEM150B	NM_001282011.2,NR_104071.2,NR_104066.2,NM_001085488.3	4	1
COX6B2	NM_001369799.1,NM_001369800.1,NM_001369798.1,NM_144613.5	4	1
IL11	NM_001267718.2,NM_000641.4	2	1
RPL28+MIR6805	NM_001363697.1,NM_001136137.1,NM_001136135.2,NM_000991.5,NM_001136134.1,NM_001136136.1,NR_106863.1	7	2
ISOC2	NM_001136201.2,NM_001136202.2,NM_024710.3	3	1
SSC5D	NM_001195267.2,NM_001144950.2	2	1
ZNF580	NM_207115.2,NM_016202.2,NM_001163423.1	3	1
CCDC106	NM_001370467.1,NM_013301.2,NM_001370468.1,NM_001370469.1,NM_001370470.1,NM_001370471.1	6	1
U2AF2	NM_007279.2,NM_001012478.1	2	1
EPN1	NM_001321263.1,NM_013333.3,NM_001130072.2,NM_001130071.1	4	1
NLRP11	NM_145007.3,NM_001297743.1	2	1
NLRP13	NM_001321057.1,NM_176810.2	2	1
NLRP8	NM_001317000.1,NM_176811.2	2	1
ZNF787	NM_001002836.4,NM_001351682.2	2	1
ZNF444	NM_018337.4,NM_001253792.2	2	1
GALP	NM_033106.4,NM_001145546.1	2	1
ZSCAN5A	NM_001322077.2,NM_001322065.2,NM_001322078.2,NM_001322064.2,NM_024303.2,NM_001322061.2,NM_001322072.1,NM_001322066.1,NM_001322068.1,NM_001322070.1,NM_001322076.1,NM_001322074.2,NM_001322067.1,NM_001322073.2,NM_001322062.1,NM_001322075.1	16	1
ZNF542P	NR_003127.2,NR_024057.2,NR_024056.2,NR_024055.2,NR_033418.1	5	1
ZNF582	NM_001320371.2,NM_144690.3	2	1
ZNF582-AS1	NR_037160.1,NR_037161.1,NR_037159.1	3	1
ZNF583	NM_001159860.1,NM_001159861.2,NM_152478.3	3	1
ZNF667	NM_022103.3,NM_001321355.1,NM_001321356.2	3	1
ZNF667-AS1	NR_036521.1,NR_036522.1	2	1
ZNF471	NM_020813.4,NM_001321768.2	2	1
ZFP28	NM_020828.2,NM_001308440.1	2	1
ZNF71-SMIM17+ZNF71+SMIM17	NM_021216.4,NR_163262.1,NR_163263.1,NM_001370215.1,NM_001370214.1,NM_001193628.2	6	3
PEG3+ZIM2	NM_001369774.1,NR_163141.1,NR_163142.1,NM_001369771.1,NM_001369770.1,NM_001146326.2,NM_015363.5,NM_001369772.1,NM_001146327.1,NR_163140.1,NM_001369773.1,NR_163143.1,NM_001369724.1,NM_001369717.1,NM_001369735.1,NM_001369721.1,NM_001369722.1,NM_001146187.2,NM_006210.3,NM_001369726.1,NM_001369732.1,NM_001369720.1,NM_001369718.1,NM_001146185.2,NM_001369723.1,NM_001369733.1,NM_001369719.1,NM_001369729.1,NM_001369728.1,NM_001369737.1,NM_001369739.1,NM_001369730.1,NM_001369725.1,NM_001369736.1,NM_001369731.1,NM_001369738.1,NM_001369734.1,NM_001146184.2,NM_001369727.1,NR_161475.1,NR_161476.1	41	2
AURKC	NM_001015879.2,NM_003160.3,NM_001015878.2	3	1
ZNF805	NM_001023563.4,NM_001145078.2	2	1
ZNF460-AS1	NR_136529.1,NR_136528.1	2	1
ZNF460	NM_001330622.1,NM_006635.4	2	1
ZNF304	NM_001329456.1,NM_020657.3,NM_001290319.1,NM_001290318.1	4	1
TRAPPC2B+ZNF547	NM_173631.3,NM_001355204.2	2	2
ZNF548	NM_152909.3,NM_001172773.2	2	1
ZNF17	NM_001330617.1,NM_006959.2	2	1
ZNF749	NM_001023561.4,NM_001321952.2,NM_001321953.2,NM_001321954.2	4	1
ZNF772	NM_001144068.2,NM_001330613.2,NM_001024596.3	3	1
ZNF419	NM_001098492.2,NM_024691.4,NM_001098494.2,NM_001291745.2,NM_001098493.2,NM_001098491.2,NM_001098496.2,NM_001098495.2,NM_001291744.2,NM_001291743.2	10	1
ZNF773	NM_001304336.1,NM_001304334.1,NR_130705.2,NM_198542.3,NM_001304335.2,NM_001304337.2	6	1
ZNF549	NM_153263.2,NM_001199295.2	2	1
ZNF550	NM_001277090.2,NM_001277093.2,NM_001277092.2,NM_001277091.2	4	1
ZNF416	NM_001353405.1,NM_017879.3	2	1
ZIK1	NM_001321147.2,NM_001010879.4,NM_001321146.2,NM_001321145.2	4	1
ZNF530	NM_001321981.2,NM_020880.5,NR_135923.2,NR_135924.2	4	1
ZNF211	NM_001265598.2,NM_006385.5,NR_049754.3,NM_001322306.2,NM_001265597.3,NM_001265600.3,NR_049752.3,NM_001265599.3,NM_198855.4,NR_049753.3	10	1
ZNF551	NM_138347.5,NM_001270938.2,NR_073102.2	3	1
ZNF154	NM_001085384.3,NR_110974.2,NR_110975.2	3	1
ZNF671	NM_001321376.2,NM_024833.3,NM_001321375.2	3	1
ZNF776	NM_173632.4,NR_145327.2,NR_145326.2,NR_145328.2,NM_001348007.2	5	1
ZNF586	NM_001077426.2,NM_001204814.1,NM_017652.4	3	1
ZNF587	NM_032828.4,NM_001204817.2	2	1
ZNF417	NM_152475.3,NM_001297734.2	2	1
ZNF418	NM_133460.3,NM_001317027.2,NM_001317029.2,NM_001317028.2,NM_001317030.2	5	1
ZNF606	NM_001348024.2,NM_001348023.2,NM_001348025.2,NM_001348022.2,NM_025027.4	5	1
ZNF135	NM_001164527.1,NM_001289401.1,NM_001164530.1,NM_001289402.1,NM_001164529.1,NM_007134.1,NM_003436.4	7	1
ZSCAN18	NM_023926.4,NM_001145543.1,NM_001145542.1,NM_001145544.2,NR_027135.1	5	1
ZNF274	NM_016325.3,NM_016324.3,NM_001278734.1,NM_133502.3	4	1
ZNF544	NM_001320771.1,NM_001320782.1,NM_001320770.1,NM_001320791.1,NM_001320792.1,NM_001320788.1,NM_001320767.1,NM_014480.3,NM_001320780.2,NM_001320773.1,NM_001320786.2,NM_001320783.2,NM_001320776.2,NM_001320777.2,NM_001320787.2,NM_001320785.2,NM_001320789.1,NM_001320781.1,NM_001320769.1,NM_001320774.2	20	1
ERVK3-1+ZNF8+ZNF8-ERVK3-1	NM_021089.3,NR_144447.1,NR_144445.1	3	3
ZSCAN22	NM_001321117.2,NM_001321116.2,NM_181846.3	3	1
ZNF497	NM_001207009.2,NM_198458.3	2	1
ZNF837	NM_138466.2,NR_049780.2	2	1
RPS5+MIR10394	NM_001009.4,NR_162103.1	2	2
ZNF584	NM_173548.3,NM_001363680.1,NR_134461.1,NM_001318002.1	4	1
ZNF446	NM_017908.4,NM_001304453.1	2	1
SLC27A5	NM_012254.3,NM_001321196.1	2	1
ZBTB45	NM_001316981.2,NM_001316979.2,NM_032792.4,NM_001316980.1,NM_001316978.2,NM_001316982.1	6	1
CHMP2A	NM_198426.3,NM_014453.4	2	1
MZF1	NM_003422.2,NM_001267033.2,NM_198055.2	3	1
SH3YL1	NR_104227.1,NR_104225.1,NM_001282687.1,NR_104226.1,NR_104223.1,NM_001159597.2,NM_001282682.1,NM_015677.4,NR_104224.2	9	1
ACP1	NM_007099.3,NR_024080.1,NM_001040649.2,NM_004300.4	4	1
LINC01874	NR_146436.1,NR_146437.1	2	1
LOC105373352	NR_136168.1,NR_136169.1	2	1
TMEM18	NM_001352680.2,NM_152834.4,NM_001352681.1	3	1
LINC01115	NR_111963.1,NR_033880.3	2	1
TPO	NM_000547.5,NM_175719.3,NM_001206745.1,NM_001206744.2,NM_175722.3,NM_175721.3	6	1
MYT1L	NM_001303052.2,NM_015025.4,NM_001329852.2,NM_001329846.2,NM_001329848.1,NM_001329851.2,NM_001329849.2,NM_001329845.1,NM_001329847.2,NM_001329844.2	10	1
EIPR1	NM_003310.4,NM_001330530.2,NM_001330531.2	3	1
TRAPPC12	NM_001321102.1,NM_016030.6	2	1
ADI1	NM_018269.4,NM_001306077.1	2	1
RNASEH1	NR_148532.2,NR_148534.2,NM_001286837.3,NM_002936.5,NM_001286834.2,NR_148533.2	6	1
RNASEH1-AS1	NR_038429.1,NR_038430.1,NR_038431.1	3	1
COLEC11	NM_001255983.1,NR_045659.2,NM_001255984.2,NM_001255982.2,NM_024027.5,NM_199235.3,NM_001255985.1,NM_001255987.1,NM_001255986.1,NM_001255988.1,NM_001255989.1	11	1
DCDC2C	NM_001287444.2,NM_001365580.1	2	1
MIR7158+SILC1	NR_026832.1,NR_106980.1	2	2
LINC01246	NR_110500.1,NR_110498.1	2	1
CMPK2	NM_001256478.1,NM_207315.3,NR_046236.2,NM_001256477.1	4	1
RNF144A	NM_001349185.2,NM_001349186.2,NM_014746.6,NM_001349181.2,NM_001349184.1,NM_001349183.2,NM_001349182.2,NR_146069.2	8	1
LINC00299	NR_034135.1,NR_152741.1	2	1
ID2-AS1	NR_110154.1,NR_110153.1	2	1
KIDINS220	NR_145965.2,NM_001348739.2,NM_001348741.2,NR_145964.2,NM_001348738.2,NM_001348742.2,NM_001348740.2,NM_001348743.2,NM_001348735.2,NM_001348732.2,NM_020738.4,NM_001348729.2,NM_001348734.2,NM_001348731.2,NM_001348736.2,NM_001348745.2	16	1
MBOAT2	NR_135600.2,NM_001321266.2,NM_001321265.2,NR_135601.2,NR_135604.2,NR_135603.2,NR_135598.2,NM_138799.4,NR_135602.2,NR_135606.2,NM_001321267.2,NR_135599.2,NR_135605.2	13	1
ASAP2	NM_001135191.1,NM_003887.3	2	1
ITGB1BP1	NM_001319069.2,NM_001319066.2,NM_004763.5,NR_134957.2,NR_134953.2,NR_134955.2,NR_134951.2,NR_134956.2,NM_022334.5,NR_134952.2,NM_001369749.2,NM_001319070.2,NM_001319067.2,NR_134954.2,NM_001319068.2,NM_001369750.1,NM_001369745.1,NM_001369744.1,NM_001369747.1,NM_001369746.1,NM_001369748.1	21	1
CPSF3	NM_001321834.1,NM_001321833.1,NM_001321835.1,NM_001321836.1,NM_016207.4	5	1
IAH1	NM_001320860.2,NM_001320859.2,NM_001320863.2,NM_001039613.3,NM_001320858.2	5	1
TAF1B	NM_001318976.1,NM_001318977.1,NM_005680.3	3	1
KLF11	NM_003597.5,NM_001177716.1,NM_001177718.1	3	1
RRM2	NM_001165931.1,NM_001034.4,NR_164157.1	3	1
HPCAL1	NM_002149.4,NM_134421.2,NM_001258357.1,NM_001258358.1,NM_001258359.1	5	1
ODC1	NM_001287190.2,NM_001287189.2,NM_001287188.2,NM_002539.3	4	1
NOL10	NM_024894.4,NM_001261394.1,NR_048552.1,NM_001261392.1	4	1
ATP6V1C2	NM_144583.4,NM_001039362.2	2	1
PDIA6	NM_001282707.1,NM_001282706.1,NM_001282704.1,NM_005742.4,NM_001282705.2	5	1
C2orf50	NM_001371321.1,NM_001371320.1,NM_182500.4	3	1
SLC66A3	NM_001282710.1,NM_001282712.2,NR_104231.2,NM_001282711.2,NM_152391.5	5	1
ROCK2	NM_004850.5,NM_001321643.2	2	1
E2F6	NR_103490.2,NM_212540.3,NM_198256.4,NM_001278275.1,NM_001278278.1,NM_001278276.2,NM_001278277.1	7	1
GREB1	NM_014668.4,NM_148903.3,NM_033090.3	3	1
LPIN1	NM_001261428.3,NM_001349208.2,NM_001349207.2,NM_001261427.2,NM_001349203.2,NM_001349206.2,NM_001349202.2,NR_146080.2,NM_001349199.2,NM_001349200.2,NM_001349201.2,NM_001349204.2,NM_145693.4,NM_001349205.1	14	1
MIR3681HG	NR_110196.1,NR_110197.1,NR_110198.1	3	1
TRIB2	NM_021643.3,NR_027303.2	2	1
LRATD1	NR_144632.2,NM_145175.4,NM_001369364.1	3	1
NBAS	NM_015909.4,NR_052013.3	2	1
MYCNOS	NR_110230.2,NR_161163.1,NR_161162.1	3	1
MYCN	NM_005378.6,NM_001293231.2,NM_001293228.2,NM_001293233.2	4	1
RAD51AP2	NM_001099218.3,NM_001321233.1	2	1
VSNL1	NM_001366803.1,NM_003385.5,NM_001366806.1,NM_001366805.1,NM_001366804.1	5	1
SMC6	NM_024624.5,NM_001142286.2	2	1
GEN1	NM_182625.5,NM_001130009.3	2	1
KCNS3	NM_001282428.1,NM_002252.5	2	1
NT5C1B-RDH14+NT5C1B+RDH14	NM_001199103.1,NM_020905.4,NM_001199104.1,NM_001199087.2,NM_001199088.2,NM_001002006.3,NM_001199086.2,NM_033253.4	8	3
WDR35	NM_020779.4,NM_001006657.2	2	1
SDC1	NM_002997.5,NM_001006946.1	2	1
PUM2	NM_001282791.2,NM_001352926.1,NM_001282790.2,NM_001282752.2,NM_001352918.1,NM_001352930.2,NM_001352928.2,NM_015317.4,NM_001352917.2,NM_001352923.2,NM_001352920.2,NM_001352925.2,NM_001352929.2,NM_001352927.2,NM_001352919.2	15	1
LDAH	NM_001282721.1,NM_001282723.1,NM_001282722.1,NM_001282719.1,NM_021925.4,NM_001282724.2,NR_104233.2,NM_001282720.2	8	1
ATAD2B	NR_125717.2,NM_001242338.3,NM_017552.4,NM_001354107.2	4	1
WDCP	NM_001142319.1,NM_025203.3	2	1
FKBP1B	NM_054033.4,NR_136538.2,NM_001322963.2,NR_136536.2,NR_136539.2,NM_001322964.2,NM_004116.5	7	1
FAM228B	NM_001291328.2,NR_111929.2,NM_001145710.2	3	1
TP53I3	NM_001206802.2,NM_004881.5,NM_147184.3	3	1
ITSN2	NM_019595.4,NM_001348181.2,NM_006277.3,NM_001348182.2,NM_147152.3,NM_001348183.2,NM_001348186.2,NM_001348185.2,NM_001348184.2	9	1
NCOA1	NM_001362950.1,NM_147223.3,NM_003743.5,NM_001362954.1,NM_001362952.1,NM_001362955.1,NM_147233.2	7	1
CENPO	NM_024322.3,NM_001322101.2,NR_136182.2,NR_136184.2,NR_136183.2,NM_001199803.3	6	1
ADCY3	NM_004036.5,NM_001320613.2	2	1
DNAJC27	NM_001198559.1,NM_016544.3	2	1
EFR3B	NM_014971.2,NM_001319099.1	2	1
POMC	NM_001035256.2,NM_000939.4,NM_001319204.2,NM_001319205.2	4	1
DNMT3A	NR_135490.2,NM_022552.4,NM_001320893.1,NM_153759.3,NM_175629.2,NM_001320892.2,NM_175630.1	7	1
