gene	transcript	n_transcript	n_gene
LOC105373878	NR_135524.1	1	1
CXCR2P1	NR_002712.1	1	1
CXCR1	NM_000634.3	1	1
CATIP-AS2	NR_125777.1	1	1
MIR6810	NR_106868.1	1	1
CATIP-AS1	NR_110573.1	1	1
SLC11A1	NM_000578.4	1	1
MIR26B	NR_029500.1	1	1
VIL1	NM_007127.3	1	1
USP37	NM_020935.3	1	1
PLCD4	NM_032726.4	1	1
RNF25	NM_022453.3	1	1
TTLL4	NM_014640.5	1	1
CYP27A1	NM_000784.4	1	1
PRKAG3	NM_017431.3	1	1
MIR9500	NR_128707.1	1	1
WNT6	NM_006522.4	1	1
WNT10A	NM_025216.3	1	1
LINC01494	NR_110238.1	1	1
CDK5R2	NM_003936.5	1	1
FEV	NM_017521.3	1	1
MIR375	NR_029867.1	1	1
LOC100129175	NR_046086.1	1	1
IHH	NM_002181.4	1	1
MIR3131	NR_036081.1	1	1
NHEJ1	NM_024782.2	1	1
TUBA4B	NM_001355221.1	1	1
MIR153-1	NR_029688.1	1	1
RESP18	NM_001007089.4	1	1
DES	NM_001927.4	1	1
SPEGNB	NM_001286811.1	1	1
MIR3132	NR_036082.1	1	1
INHA	NM_002191.4	1	1
STK11IP	NM_052902.4	1	1
LINC01803	NR_146975.1	1	1
MIR4268	NR_036228.1	1	1
CCDC140	NR_161172.1	1	1
MOGAT1	NM_058165.3	1	1
KCNE4	NM_080671.3	1	1
SCG2	NM_003469.5	1	1
WDFY1	NM_020830.5	1	1
MRPL44	NM_022915.5	1	1
MIR4439	NR_039641.1	1	1
LOC646736	NR_046102.1	1	1
MIR5702	NR_049887.1	1	1
IRS1	NM_005544.2	1	1
COL4A4	NM_000092.5	1	1
COL4A3	NM_000091.5	1	1
MFF-DT	NR_102371.1	1	1
TM4SF20	NM_024795.4	1	1
LOC729968	NR_149019.1	1	1
LINC01807	NR_151716.1	1	1
DNER	NM_139072.4	1	1
FBXO36	NM_174899.5	1	1
SLC16A14	NM_152527.5	1	1
LINC01907	NR_040038.1	1	1
GCSIR	NR_038238.1	1	1
GPR55	NM_005683.4	1	1
SPATA3-AS1	NR_033879.1	1	1
SPATA3	NM_139073.3	1	1
C2orf72	NM_001144994.2	1	1
MIR4777	NR_039937.1	1	1
B3GNT7	NM_145236.3	1	1
NCL	NM_005381.3	1	1
SNORA75	NR_002921.1	1	1
SNORD20	NR_002908.1	1	1
SNORD82	NR_004398.1	1	1
LINC00471	NR_024079.1	1	1
NMUR1	NM_006056.5	1	1
TEX44	NM_152614.3	1	1
MIR1471	NR_031717.1	1	1
NPPC	NM_024409.4	1	1
MIR562	NR_030288.1	1	1
ALPP	NM_001632.5	1	1
ECEL1P2	NR_028501.1	1	1
ALPG	NM_031313.3	1	1
ALPI	NM_001631.5	1	1
CHRNG	NM_005199.5	1	1
LOC101928881	NR_136325.1	1	1
NEU2	NM_005383.2	1	1
SCARNA5	NR_003008.2	1	1
SCARNA6	NR_003006.1	1	1
SAG	NM_000541.5	1	1
DNAJB3	NM_001001394.4	1	1
MROH2A	NM_001367507.1	1	1
MSL3P1	NR_024322.1	1	1
TRPM8	NM_024080.5	1	1
SPP2	NM_006944.3	1	1
LINC01891	NR_146988.1	1	1
LINC01173	NR_132376.1	1	1
AGAP1-IT1	NR_131900.1	1	1
TNRC17	NR_146582.1	1	1
ASB18	NM_212556.3	1	1
ACKR3	NM_020311.3	1	1
LOC93463	NR_135202.1	1	1
MIR6811	NR_106869.1	1	1
PRLH	NM_015893.1	1	1
RBM44	NM_001080504.2	1	1
KLHL30	NM_198582.4	1	1
ERFE	NM_001291832.2	1	1
ILKAP	NM_030768.3	1	1
LOC643387	NR_026923.1	1	1
PER2	NM_022817.3	1	1
LINC01107	NR_037809.1	1	1
LOC100287387	NR_157851.1	1	1
LINC01940	NR_034162.1	1	1
HDAC4	NM_006037.3	1	1
MIR4440	NR_039642.1	1	1
MIR4441	NR_039643.1	1	1
MGC16025	NR_026664.1	1	1
MIR4269	NR_036229.1	1	1
MIR2467	NR_039948.1	1	1
LOC150935	NR_037808.1	1	1
MIR4786	NR_039949.1	1	1
OR6B2	NM_001005853.1	1	1
OR6B3	NM_173351.1	1	1
OTOS	NM_148961.4	1	1
GPC1	NM_002081.3	1	1
LOC100130449	NR_161169.1	1	1
MIR149	NR_029702.1	1	1
RNPEPL1	NM_018226.6	1	1
CAPN10-DT	NR_103792.1	1	1
AQP12B	NM_001102467.2	1	1
LOC285191	NR_149021.1	1	1
AQP12A	NM_198998.3	1	1
AGXT	NM_000030.3	1	1
CROCC2	NM_001351305.2	1	1
LOC200772	NR_033841.1	1	1
SNED1	NM_001080437.3	1	1
MIR3133	NR_036083.1	1	1
BOK-AS1	NR_033346.1	1	1
BOK	NM_032515.5	1	1
GAL3ST2	NM_022134.3	1	1
PDCD1	NM_005018.3	1	1
RTP5	NM_173821.3	1	1
LINC01237	NR_110220.1	1	1
LINC01238	NR_110592.1	1	1
LOC285097	NR_149023.1	1	1
LINC01880	NR_146651.1	1	1
DEFB125	NM_153325.4	1	1
DEFB126	NM_030931.4	1	1
DEFB127	NM_139074.4	1	1
DEFB128	NM_001037732.3	1	1
DEFB129	NM_080831.4	1	1
DEFB132	NM_207469.3	1	1
ZCCHC3	NM_033089.7	1	1
NRSN2-AS1	NR_109990.1	1	1
SOX12	NM_006943.3	1	1
TCF15	NM_004609.3	1	1
SRXN1	NM_080725.3	1	1
SCRT2	NM_033129.4	1	1
LOC105372493	NR_136535.1	1	1
C20orf202	NM_001009612.3	1	1
RAD21L1	NM_001136566.2	1	1
MIR6869	NR_106929.1	1	1
SIRPD	NM_178460.3	1	1
SIRPG-AS1	NR_110090.1	1	1
LOC100289473	NR_037142.1	1	1
PDYN-AS1	NR_134520.1	1	1
STK35	NM_080836.4	1	1
LOC388780	NR_161305.1	1	1
TGM3	NM_003245.4	1	1
SNORD119	NR_003684.1	1	1
TMC2	NM_080751.2	1	1
SNORD110	NR_003078.1	1	1
SNORA51	NR_002981.1	1	1
SNORD56	NR_002739.1	1	1
SNORD57	NR_002738.1	1	1
MRPS26	NM_030811.4	1	1
OXT	NM_000915.4	1	1
AVP	NM_000490.5	1	1
UBOX5-AS1	NR_038395.1	1	1
DDRGK1	NM_023935.3	1	1
C20orf194	NM_001009984.2	1	1
SPEF1	NM_015417.5	1	1
CENPB	NM_001810.6	1	1
LINC01730	NR_109859.1	1	1
MIR103A2	NR_029519.1	1	1
MIR103B2	NR_031722.1	1	1
LINC01433	NR_033917.1	1	1
ADRA1D	NM_000678.4	1	1
PRND	NM_012409.4	1	1
PCNA-AS1	NR_028370.1	1	1
CDS2	NM_003818.4	1	1
PROKR2	NM_144773.3	1	1
LOC643406	NR_029405.1	1	1
LINC00654	NR_015406.2	1	1
LINC01729	NR_109860.1	1	1
GPCPD1	NM_019593.5	1	1
CHGB	NM_001819.3	1	1
MCM8-AS1	NR_110101.1	1	1
LRRN4	NM_152611.5	1	1
FERMT1	NM_017671.4	1	1
CASC20	NR_109953.1	1	1
LINC01713	NR_146909.1	1	1
BMP2	NM_001200.4	1	1
LINC01428	NR_110609.1	1	1
LINC01751	NR_135005.1	1	1
LINC01706	NR_110610.1	1	1
MIR8062	NR_107029.1	1	1
HAO1	NM_017545.3	1	1
TMX4	NM_021156.4	1	1
PLCB1-IT1	NR_046809.1	1	1
RNU105B	NR_004386.2	1	1
LAMP5-AS1	NR_109957.1	1	1
PARAL1	NR_109861.1	1	1
SNAP25-AS1	NR_040710.1	1	1
SLX4IP	NM_001009608.3	1	1
JAG1	NM_000214.3	1	1
MIR6870	NR_106930.1	1	1
LINC01752	NR_110611.1	1	1
LOC101929413	NR_109866.1	1	1
LINC02871	NR_146878.1	1	1
LOC339593	NR_038972.1	1	1
LINC00687	NR_110635.1	1	1
LINC01722	NR_109868.1	1	1
LOC102606466	NR_109872.1	1	1
LINC01723	NR_109870.1	1	1
ISM1	NM_080826.2	1	1
ISM1-AS1	NR_040043.1	1	1
MACROD2-IT1	NR_104193.2	1	1
OTOR	NM_020157.3	1	1
SNORD17	NR_003045.1	1	1
LINC00851	NR_034167.1	1	1
MIR3192	NR_036160.1	1	1
RBBP9	NM_006606.3	1	1
DTD1-AS1	NR_109955.1	1	1
LINC00653	NR_026885.1	1	1
SCP2D1	NM_178483.3	1	1
SLC24A3	NM_020689.4	1	1
LOC100130264	NR_024564.1	1	1
INSM1	NM_002196.3	1	1
RALGAPA2	NM_020343.4	1	1
LINC00237	NR_147212.1	1	1
KIZ-AS1	NR_109956.1	1	1
NKX2-4	NM_033176.2	1	1
NKX2-2	NM_002509.4	1	1
LINC01727	NR_109880.1	1	1
LINC01726	NR_109878.1	1	1
LINC01432	NR_038394.1	1	1
LINC01427	NR_110615.1	1	1
LINC00261	NR_001558.3	1	1
LNCNEF	NR_109883.1	1	1
SSTR4	NM_001052.2	1	1
THBD	NM_000361.3	1	1
CD93	NM_012072.4	1	1
LINC00656	NR_034149.1	1	1
NXT1	NM_013248.3	1	1
LINC01431	NR_109884.1	1	1
CSTL1	NM_138283.1	1	1
CST13P	NR_001279.2	1	1
CST9L	NM_080610.3	1	1
CST9	NM_001008693.2	1	1
CST4	NM_001899.2	1	1
CST1	NM_001898.2	1	1
CST2	NM_001322.3	1	1
CST5	NM_001900.5	1	1
LINC01721	NR_040102.1	1	1
CST7	NM_003650.4	1	1
APMAP	NM_020531.3	1	1
LOC101926889	NR_109994.1	1	1
PYGB	NM_002862.4	1	1
NANP	NM_152667.3	1	1
LOC105372582	NR_135006.1	1	1
LOC101926935	NR_110001.1	1	1
LINC01733	NR_110003.1	1	1
LOC100134868	NR_004846.3	1	1
FAM182A	NR_026713.1	1	1
NCOR1P1	NR_003678.1	1	1
MIR663AHG	NR_040095.1	1	1
MIR663A	NR_030386.1	1	1
LINC01597	NR_145432.2	1	1
MLLT10P1	NR_045115.1	1	1
DEFB115	NM_001037730.1	1	1
DEFB116	NM_001037731.1	1	1
DEFB118	NM_054112.3	1	1
DEFB122	NR_045677.1	1	1
DEFB124	NM_001037500.1	1	1
REM1	NM_014012.6	1	1
LINC00028	NR_024358.1	1	1
HM13-AS1	NR_046853.2	1	1
MIR3193	NR_036161.1	1	1
COX4I2	NM_032609.3	1	1
ABALON	NR_131907.1	1	1
TPX2	NM_012112.5	1	1
MYLK2	NM_033118.4	1	1
FOXS1	NM_004118.4	1	1
PDRG1	NM_030815.3	1	1
XKR7	NM_001011718.2	1	1
TSPY26P	NR_002781.1	1	1
PLAGL2	NM_002657.3	1	1
KIF3B	NM_004798.4	1	1
LOC101929698	NR_110619.1	1	1
NOL4L-DT	NR_034152.1	1	1
C20orf203	NM_182584.4	1	1
MAPRE1	NM_012325.3	1	1
EFCAB8	NM_001143967.1	1	1
SUN5	NM_080675.4	1	1
BPIFB2	NM_025227.3	1	1
BPIFB6	NM_174897.2	1	1
BPIFB3	NM_182658.2	1	1
BPIFB4	NM_182519.2	1	1
BPIFA4P	NR_026760.1	1	1
BPIFB1	NM_033197.3	1	1
SNTA1	NM_003098.3	1	1
C20orf144	NM_080825.4	1	1
ACTL10	NM_001024675.2	1	1
E2F1	NM_005225.3	1	1
ZNF341-AS1	NR_110623.1	1	1
CHMP4B	NM_176812.5	1	1
MIR4755	NR_039911.1	1	1
ASIP	NM_001672.2	1	1
MIR644A	NR_030374.1	1	1
PIGU	NM_080476.4	1	1
HMGB3P1	NR_002165.1	1	1
MYH7B	NM_020884.5	1	1
MIR499A	NR_030223.1	1	1
MIR499B	NR_039912.1	1	1
PROCR	NM_006404.5	1	1
MMP24	NM_006690.4	1	1
FAM83C-AS1	NR_109815.1	1	1
FAM83C	NM_178468.6	1	1
GDF5OS	NR_161326.1	1	1
MIR1289-1	NR_031620.1	1	1
FER1L4	NR_119376.1	1	1
ROMO1	NM_080748.3	1	1
PHF20	NM_016436.5	1	1
NORAD	NR_027451.1	1	1
LOC100130373	NR_147703.1	1	1
DLGAP4-AS1	NR_109939.1	1	1
LINC00489	NR_047461.1	1	1
LOC100287792	NR_040021.1	1	1
VSTM2L	NM_080607.3	1	1
RPRD1B	NM_021215.4	1	1
LOC149684	NR_104170.1	1	1
BPI	NM_001725.3	1	1
LBP	NM_004139.5	1	1
SNORA71B	NR_002910.2	1	1
SNORA71A	NR_002911.1	1	1
SNORA71C	NR_003017.2	1	1
SNORA71D	NR_003018.2	1	1
SNHG11	NR_003239.1	1	1
SNORA71E	NR_002972.1	1	1
SNORA60	NR_002986.1	1	1
MIR548O2	NR_039605.1	1	1
ARHGAP40	NM_001164431.2	1	1
SLC32A1	NM_080552.3	1	1
ACTR5	NM_024855.4	1	1
FAM83D	NM_030919.3	1	1
LINC01734	NR_027124.1	1	1
MAFB	NM_005461.5	1	1
SNORD154	NR_145814.1	1	1
TOP1	NM_003286.4	1	1
PLCG1-AS1	NR_109889.1	1	1
MIR6871	NR_106931.1	1	1
ZHX3	NM_015035.4	1	1
EMILIN3	NM_052846.2	1	1
CHD6	NM_032221.5	1	1
LOC101927159	NR_110004.1	1	1
LOC101927138	NR_149017.1	1	1
LINC01728	NR_134577.1	1	1
OSER1	NM_016470.8	1	1
FITM2	NM_001080472.4	1	1
R3HDML	NM_178491.3	1	1
HNF4A-AS1	NR_109949.1	1	1
MIR3646	NR_037419.1	1	1
LINC01430	NR_109893.1	1	1
LINC01260	NR_034104.1	1	1
KCNK15-AS1	NR_132377.1	1	1
KCNK15	NM_022358.4	1	1
TOMM34	NM_006809.5	1	1
STK4-AS1	NR_038341.1	1	1
WFDC5	NM_145652.4	1	1
WFDC12	NM_080869.2	1	1
PI3	NM_002638.4	1	1
SEMG1	NM_003007.5	1	1
SEMG2	NM_003008.3	1	1
SLPI	NM_003064.4	1	1
SDC4	NM_002999.4	1	1
TP53TG5	NM_014477.3	1	1
MIR6812	NR_106870.1	1	1
LOC105372631	NR_159957.1	1	1
WFDC2	NM_006103.4	1	1
SPINT3	NM_006652.2	1	1
WFDC9	NM_147198.4	1	1
WFDC10A	NM_080753.3	1	1
WFDC11	NM_147197.2	1	1
WFDC13	NM_172005.2	1	1
MIR3617	NR_037411.1	1	1
SPINT4	NM_178455.3	1	1
WFDC3	NM_080614.2	1	1
DNTTIP1	NM_052951.3	1	1
TNNC2	NM_003279.3	1	1
ACOT8	NM_005469.4	1	1
ZSWIM1	NM_080603.5	1	1
SPATA25	NM_080608.4	1	1
PCIF1	NM_022104.4	1	1
ZNF335	NM_022095.4	1	1
MMP9	NM_004994.3	1	1
SLC12A5-AS1	NR_147699.1	1	1
CDH22	NM_021248.3	1	1
LOC105372633	NR_146919.1	1	1
ZNF663P	NR_045983.1	1	1
MKRN7P	NR_026640.1	1	1
OCSTAMP	NM_080721.3	1	1
SLC2A10	NM_030777.4	1	1
MIR3616	NR_037410.1	1	1
LOC100131496	NR_024594.1	1	1
LOC101927377	NR_134501.1	1	1
LINC01522	NR_110027.1	1	1
LINC01523	NR_109942.1	1	1
LINC00494	NR_026958.1	1	1
PREX1	NM_020820.4	1	1
ARFGEF2	NM_006420.3	1	1
ZNFX1	NM_021035.3	1	1
SNORD12C	NR_002433.1	1	1
SNORD12B	NR_003695.1	1	1
SNORD12	NR_003030.1	1	1
KCNB1	NM_004975.4	1	1
PTGIS	NM_000961.4	1	1
B4GALT5	NM_004776.4	1	1
MIR12122	NR_162136.1	1	1
LOC105372653	NR_134564.1	1	1
RNF114	NM_018683.4	1	1
SNAI1	NM_005985.4	1	1
TRERNA1	NR_051976.1	1	1
LINC01273	NR_109943.1	1	1
CEBPB-AS1	NR_125739.1	1	1
SMIM25	NM_001278655.1	1	1
LINC01270	NR_034124.1	1	1
LINC01271	NR_109950.1	1	1
MIR645	NR_030375.1	1	1
MIR1302-5	NR_031634.1	1	1
LOC100506175	NR_111906.1	1	1
PARD6B	NM_032521.3	1	1
MOCS3	NM_014484.5	1	1
KCNG1	NM_002237.4	1	1
MIR3194	NR_036162.1	1	1
ATP9A	NM_006045.3	1	1
LINC01429	NR_110016.1	1	1
LINC01524	NR_110038.1	1	1
LOC101927770	NR_110051.1	1	1
ZNF217	NM_006526.2	1	1
LOC105372672	NR_134576.1	1	1
SUMO1P1	NR_002189.3	1	1
MIR4756	NR_039913.1	1	1
PFDN4	NM_002623.4	1	1
LINC01441	NR_110064.1	1	1
LINC01440	NR_110629.1	1	1
CBLN4	NM_080617.6	1	1
MC3R	NM_019888.3	1	1
FAM210B	NM_080821.3	1	1
GCNT7	NR_160308.1	1	1
FAM209A	NM_001012971.3	1	1
FAM209B	NM_001013646.4	1	1
LINC01716	NR_136537.1	1	1
TFAP2C	NM_003222.4	1	1
BMP7	NM_001719.3	1	1
BMP7-AS1	NR_110631.1	1	1
MIR4325	NR_036219.1	1	1
MTRNR2L3	NM_001190472.2	1	1
LOC100291105	NR_149006.1	1	1
PCK1	NM_002591.4	1	1
NKILA	NR_131157.1	1	1
LINC01742	NR_147083.1	1	1
C20orf85	NM_178456.3	1	1
ANKRD60	NM_001304369.1	1	1
PPP4R1L	NR_003505.3	1	1
RAB22A	NM_020673.3	1	1
APCDD1L-DT	NR_034147.1	1	1
LINC01711	NR_125359.1	1	1
LOC105372695	NR_134566.1	1	1
MIR296	NR_029844.1	1	1
MIR298	NR_030580.1	1	1
GNAS-AS1	NR_002785.2	1	1
LOC101927932	NR_126334.1	1	1
NELFCD	NM_198976.4	1	1
CTSZ	NM_001336.4	1	1
TUBB1	NM_030773.4	1	1
ZNF831	NM_178457.2	1	1
PHACTR3-AS1	NR_040513.1	1	1
SYCP2	NM_014258.4	1	1
PPP1R3D	NM_006242.4	1	1
MIR646HG	NR_046099.1	1	1
MIR646	NR_030376.1	1	1
LOC101928048	NR_109903.1	1	1
MIR4533	NR_039758.1	1	1
MIR548AG2	NR_039653.1	1	1
LINC01718	NR_109919.1	1	1
LOC100128310	NR_147702.1	1	1
MIR1257	NR_031658.1	1	1
TAF4	NM_003185.3	1	1
MIR3195	NR_130463.1	1	1
LSM14B	NM_144703.3	1	1
PSMA7	NM_002792.4	1	1
MTG2	NM_015666.3	1	1
HRH3	NM_007232.3	1	1
LOC105369209	NR_160555.1	1	1
RPS21	NM_001024.4	1	1
CABLES2	NM_031215.2	1	1
RBBP8NL	NM_080833.3	1	1
GATA5	NM_080473.5	1	1
MIR1-1HG-AS1	NR_033263.1	1	1
MIR1-1	NR_029780.1	1	1
SLCO4A1	NM_016354.4	1	1
SLCO4A1-AS1	NR_024470.1	1	1
NTSR1	NM_002531.3	1	1
OGFR-AS1	NR_102430.1	1	1
OGFR	NM_007346.4	1	1
COL9A3	NM_001853.4	1	1
DPH3P1	NM_080750.4	1	1
SNORA117	NR_145839.1	1	1
GID8	NM_017896.3	1	1
BHLHE23	NM_080606.4	1	1
LINC01749	NR_033370.1	1	1
LINC00029	NR_028295.1	1	1
LINC01056	NR_033369.1	1	1
HAR1A	NR_003244.2	1	1
MIR124-3	NR_029670.1	1	1
YTHDF1	NM_017798.4	1	1
MIR3196	NR_036163.1	1	1
FLJ16779	NR_024389.1	1	1
MIR4326	NR_036220.1	1	1
COL20A1	NM_020882.3	1	1
LOC100130587	NR_110634.1	1	1
EEF1A2	NM_001958.5	1	1
SRMS	NM_080823.3	1	1
GMEB2	NM_012384.5	1	1
SLC2A4RG	NM_020062.4	1	1
ZBTB46-AS1	NR_110081.1	1	1
ABHD16B	NM_080622.3	1	1
DNAJC5	NM_025219.3	1	1
MIR941-4	NR_040032.3	1	1
MIR941-5	NR_128719.1	1	1
MIR1914	NR_031735.1	1	1
MIR647	NR_030377.1	1	1
UCKL1-AS1	NR_027287.2	1	1
ZNF512B	NM_020713.3	1	1
SAMD10	NM_080621.5	1	1
PRPF6	NM_012469.4	1	1
C20orf204	NM_001348090.1	1	1
SOX18	NM_018419.3	1	1
MIR6813	NR_106871.1	1	1
NPBWR2	NM_005286.2	1	1
MYT1	NM_004535.3	1	1
LINC00266-1	NR_040415.1	1	1
MIR10396A	NR_162105.1	1	1
BAGE2	NM_182482.2	1	1
ANKRD30BP2	NR_026916.1	1	1
MIR3156-3	NR_036164.1	1	1
LINC01674	NR_110544.1	1	1
POTED	NM_174981.3	1	1
MIR3118-1	NR_036061.2	1	1
CYP4F29P	NR_026755.1	1	1
LOC110091776	NR_146644.1	1	1
ANKRD20A11P	NR_027270.1	1	1
HSPA13	NM_006948.5	1	1
SAMSN1-AS1	NR_046512.2	1	1
LOC388813	NM_001256579.2	1	1
LINC02246	NR_146322.1	1	1
NRIP1	NM_003489.4	1	1
SNORD74B	NR_145757.1	1	1
MIR99A	NR_029514.1	1	1
MIRLET7C	NR_029480.1	1	1
MIR125B2	NR_029694.1	1	1
BTG3-AS1	NR_149073.1	1	1
CHODL-AS1	NR_024354.1	1	1
TMPRSS15	NM_002772.3	1	1
MIR548XHG	NR_109925.1	1	1
MIR548X	NR_036166.1	1	1
LINC01683	NR_146910.1	1	1
LINC02573	NR_151724.1	1	1
LINC00317	NR_038872.1	1	1
LINC01425	NR_109958.1	1	1
LINC01687	NR_109959.1	1	1
LINC00308	NR_038400.1	1	1
MIR6130	NR_106746.1	1	1
D21S2088E	NR_040254.1	1	1
LINC01689	NR_109963.1	1	1
LINC01692	NR_046198.3	1	1
LINC00158	NR_024027.2	1	1
LINC00515	NR_024092.2	1	1
ADAMTS1	NM_006988.5	1	1
ADAMTS5	NM_007038.5	1	1
MIR4759	NR_039916.1	1	1
LINC00113	NR_024357.2	1	1
LINC00314	NR_027246.1	1	1
LINC01695	NR_126012.1	1	1
LINC00189	NR_027072.2	1	1
BACH1-IT2	NR_046564.2	1	1
BACH1-IT3	NR_146594.1	1	1
GRIK1-AS2	NR_033368.1	1	1
GRIK1-AS1	NR_027021.1	1	1
CLDN17	NM_012131.3	1	1
LINC00307	NR_038855.1	1	1
CLDN8	NM_199328.3	1	1
KRTAP24-1	NM_001085455.3	1	1
KRTAP25-1	NM_001128598.1	1	1
KRTAP26-1	NM_203405.2	1	1
KRTAP27-1	NM_001077711.1	1	1
KRTAP23-1	NM_181624.1	1	1
KRTAP13-2	NM_181621.4	1	1
MIR4327	NR_036221.1	1	1
KRTAP13-1	NM_181599.3	1	1
KRTAP13-3	NM_181622.2	1	1
KRTAP13-4	NM_181600.2	1	1
KRTAP15-1	NM_181623.2	1	1
KRTAP19-1	NM_181607.3	1	1
KRTAP19-2	NM_181608.2	1	1
KRTAP19-3	NM_181609.4	1	1
KRTAP19-4	NM_181610.3	1	1
KRTAP19-5	NM_181611.3	1	1
KRTAP19-6	NM_181612.3	1	1
KRTAP19-7	NM_181614.2	1	1
KRTAP22-2	NM_001164434.1	1	1
KRTAP6-3	NM_181605.4	1	1
KRTAP6-2	NM_181604.1	1	1
KRTAP22-1	NM_181620.2	1	1
KRTAP6-1	NM_181602.1	1	1
KRTAP20-1	NM_181615.2	1	1
KRTAP20-4	NM_001350977.1	1	1
KRTAP20-2	NM_181616.3	1	1
KRTAP20-3	NM_001128077.1	1	1
KRTAP21-3	NM_001164435.1	1	1
KRTAP21-2	NM_181617.3	1	1
KRTAP21-1	NM_181619.2	1	1
KRTAP8-1	NM_175857.4	1	1
KRTAP7-1	NM_181606.3	1	1
KRTAP11-1	NM_175858.3	1	1
KRTAP19-8	NM_001099219.1	1	1
LOC150051	NM_001321023.2	1	1
SOD1	NM_000454.4	1	1
HUNK	NM_014586.2	1	1
LINC00159	NR_038033.1	1	1
MIS18A	NM_018944.3	1	1
URB1	NM_014825.3	1	1
SNORA80A	NR_002996.2	1	1
URB1-AS1	NR_026845.1	1	1
LINC01690	NR_135522.1	1	1
OLIG2	NM_005806.4	1	1
LINC00945	NR_104056.1	1	1
OLIG1	NM_138983.3	1	1
LOC101928107	NR_109961.1	1	1
LINC01548	NR_024102.1	1	1
IL10RB-DT	NR_038974.1	1	1
IL10RB	NM_000628.5	1	1
IFNAR1	NM_000629.3	1	1
DONSON	NM_017613.4	1	1
CRYZL1	NM_145858.3	1	1
ATP5PO	NM_001697.3	1	1
LOC101928126	NR_134561.1	1	1
KCNE2	NM_172201.1	1	1
SMIM11A	NM_058182.4	1	1
FAM243A	NM_001282537.2	1	1
SMIM34A	NM_001367348.2	1	1
LINC00160	NR_024351.2	1	1
RUNX1-IT1	NR_026812.1	1	1
LOC100506403	NR_073512.1	1	1
MIR802	NR_030414.1	1	1
PPP1R2P2	NR_144547.1	1	1
LOC101928269	NR_110418.1	1	1
LINC01436	NR_110419.1	1	1
LOC100133286	NR_040084.1	1	1
LOC105369306	NR_147887.1	1	1
CBR3	NM_001236.4	1	1
CHAF1B	NM_005441.3	1	1
LOC105372795	NR_131189.1	1	1
TTC3-AS1	NR_046651.1	1	1
DSCR9	NR_026719.2	1	1
KCNJ6	NM_002240.5	1	1
DSCR4	NR_147130.1	1	1
DSCR10	NR_027695.1	1	1
LINC01423	NR_110545.1	1	1
LOC101928398	NR_109926.1	1	1
LOC400867	NR_120405.1	1	1
LINC01700	NR_109962.1	1	1
BRWD1-AS2	NR_111942.1	1	1
BRWD1-AS1	NR_046655.1	1	1
HMGN1	NM_004965.7	1	1
LCA5L	NM_152505.3	1	1
MIR6508	NR_106763.1	1	1
IGSF5	NM_001080444.1	1	1
PCP4	NM_006198.3	1	1
MIR4760	NR_039917.1	1	1
DSCAM-IT1	NR_046774.2	1	1
LINC00323	NR_024100.1	1	1
MIR3197	NR_036167.1	1	1
PLAC4	NR_148920.1	1	1
MX2	NM_002463.2	1	1
LINC00111	NR_024367.1	1	1
LINC00479	NR_027272.1	1	1
LINC00112	NR_024028.2	1	1
RIPK4	NM_020639.3	1	1
MIR6814	NR_106872.1	1	1
SNORA91	NR_132773.1	1	1
UMODL1-AS1	NR_027243.1	1	1
TFF3	NM_003226.3	1	1
TFF2	NM_005423.5	1	1
TFF1	NM_003225.3	1	1
LOC101930094	NR_135518.1	1	1
LINC01671	NR_131192.1	1	1
LINC01668	NR_135517.1	1	1
ERVH48-1	NM_001308491.1	1	1
MIR5692B	NR_049889.1	1	1
FRGCA	NR_133677.1	1	1
LINC00322	NR_103713.2	1	1
LINC01679	NR_131902.1	1	1
SIK1	NM_173354.5	1	1
LINC00319	NR_152722.1	1	1
LINC00313	NR_026863.1	1	1
HSF2BP	NM_007031.2	1	1
H2BS1	NM_017445.3	1	1
MIR6070	NR_106718.1	1	1
RRP1B	NM_015056.3	1	1
CSTB	NM_000100.3	1	1
RRP1	NM_003683.6	1	1
AATBC	NR_026961.1	1	1
PWP2	NM_005049.3	1	1
LINC01678	NR_146631.1	1	1
DNMT3L-AS1	NR_135514.1	1	1
AIRE	NM_000383.4	1	1
TRPM2-AS	NR_109964.1	1	1
LRRC3-DT	NR_047476.1	1	1
LRRC3	NM_030891.6	1	1
LINC02575	NR_155204.1	1	1
TSPEAR-AS1	NR_103707.1	1	1
KRTAP10-1	NM_198691.3	1	1
KRTAP10-3	NM_198696.3	1	1
KRTAP10-4	NM_198687.2	1	1
KRTAP10-5	NM_198694.3	1	1
KRTAP10-6	NM_198688.3	1	1
KRTAP10-7	NM_198689.3	1	1
KRTAP10-8	NM_198695.2	1	1
KRTAP10-9	NM_198690.3	1	1
KRTAP10-10	NM_181688.3	1	1
KRTAP10-11	NM_198692.3	1	1
KRTAP12-4	NM_198698.1	1	1
KRTAP12-3	NM_198697.2	1	1
KRTAP12-2	NM_181684.3	1	1
KRTAP12-1	NM_181686.2	1	1
KRTAP10-12	NM_198699.1	1	1
LINC01424	NR_109928.1	1	1
LINC00163	NR_033840.1	1	1
PICSAR	NR_024089.2	1	1
SSR4P1	NR_027292.2	1	1
LINC00334	NR_135279.1	1	1
LINC00205	NR_026943.1	1	1
LINC00316	NR_103811.1	1	1
COL18A1-AS2	NR_052004.1	1	1
MIR6815	NR_106873.1	1	1
